metabolite,source,sink,exchange_axis,mean_raw_HKD,mean_raw_Control,mean_rank_HKD,mean_rank_Control,detected_HKD,detected_Control,rate_HKD,rate_Control,log2fc,perm_p,fisher_p,fisher_or,wilcox_r,cohens_d,perm_q,fisher_q,evidence_score,sig_perm,sig_fisher,significant,sig_fdr,signature_HKD,signature_Control,effect_size_label
lpchol_hs,PT_S1,PT_S3,PT_S1→PT_S3,0.0,322.16,0.1779,0.4943,0,2,0.0,0.667,-28.263,0.03,0.10714285714285714,0.055,1.0,-2.365,0.4984,1.0,1.467,True,False,True,False,False,True,large
gmp,MyoFib,PT_S3,MyoFib→PT_S3,2778.52,520.64,0.6317,0.3575,5,1,1.0,0.333,2.416,0.0344,0.10714285714285714,18.333,-1.0,2.433,0.4984,1.0,1.463,True,False,True,False,True,False,large
ttdca,Mono,CD4T,Mono→CD4T,254.27,82.31,0.4841,0.3184,5,1,1.0,0.333,1.627,0.055,0.10714285714285714,18.333,-0.933,2.361,0.4984,1.0,1.374,False,False,False,False,True,False,large
6thf,Fib,PT_S1,Fib→PT_S1,7399.87,4600.23,0.6938,0.4103,5,1,1.0,0.333,0.686,0.1552,0.10714285714285714,18.333,-0.667,1.605,0.5115,1.0,1.027,False,False,False,False,True,False,large
dag_hs,C_TAL,PT_S3,C_TAL→PT_S3,2211.79,4996.41,0.6152,0.7747,5,3,1.0,1.0,-1.176,0.0632,1.0,1.571,0.867,-2.158,0.4984,1.0,0.959,False,False,False,False,False,False,large
6dhf,CNT,PT_S3,CNT→PT_S3,15836.94,10597.5,0.749,0.4333,5,1,1.0,0.333,0.58,0.3258,0.10714285714285714,18.333,-0.467,1.712,0.6674,1.0,0.941,False,False,False,False,True,False,large
thf,C_TAL,MyoFib,C_TAL→MyoFib,5695.53,1534.16,0.6138,0.3828,5,1,1.0,0.333,1.892,0.2846,0.10714285714285714,18.333,-0.533,1.401,0.6448,1.0,0.884,False,False,False,False,True,False,large
orot,C_TAL,CD4T,C_TAL→CD4T,476.46,580.78,0.5214,0.6092,5,3,1.0,1.0,-0.286,0.0344,1.0,1.571,1.0,-1.477,0.4984,1.0,0.881,True,False,True,False,False,False,large
5mthf,MyoFib,Fib,MyoFib→Fib,5.77,0.0,0.3407,0.2299,4,0,0.8,0.0,22.46,0.2208,0.14285714285714288,21.0,-0.6,1.246,0.5996,1.0,0.872,False,False,False,False,True,False,large
arg_L,C_TAL,PT_S3,C_TAL→PT_S3,301.91,752.66,0.4966,0.6437,5,3,1.0,1.0,-1.318,0.0696,1.0,1.571,0.867,-1.865,0.4984,1.0,0.871,False,False,False,False,False,False,large
trp_L,C_TAL,PT_S3,C_TAL→PT_S3,0.0,0.05,0.1779,0.3138,0,1,0.0,0.333,-15.64,0.1392,0.375,0.152,0.733,-1.434,0.4984,1.0,0.815,False,False,False,False,False,False,large
tyrglu,PC,GS_Stromal,PC→GS_Stromal,0.0,1.41,0.1779,0.3276,0,1,0.0,0.333,-20.423,0.1388,0.375,0.152,0.733,-1.385,0.4984,1.0,0.803,False,False,False,False,False,False,large
dtdp,Fib,C_TAL,Fib→C_TAL,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1358,1.0,0.636,0.733,-1.996,0.4984,1.0,0.802,False,False,False,False,False,False,large
aspglupro,DCT,C_TAL,DCT→C_TAL,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.138,1.0,0.636,0.733,-1.996,0.4984,1.0,0.8,False,False,False,False,False,False,large
asplysglu,C_TAL,Plasma_Cells,C_TAL→Plasma_Cells,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1388,1.0,0.636,0.733,-1.996,0.4984,1.0,0.799,False,False,False,False,False,False,large
alaarggly,C_TAL,Plasma_Cells,C_TAL→Plasma_Cells,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1392,1.0,0.636,0.733,-1.996,0.4984,1.0,0.799,False,False,False,False,False,False,large
3mob,Mono,Mac,Mono→Mac,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.14,1.0,0.636,0.733,-1.996,0.4984,1.0,0.798,False,False,False,False,False,False,large
lac_D,PT_S1,PT_S3,PT_S1→PT_S3,451019.34,115844.93,0.9959,0.7207,5,2,1.0,0.667,1.961,0.0976,0.375,6.6,-0.8,1.152,0.4984,1.0,0.798,False,False,False,False,False,False,large
hisglnala,C_TAL,IC,C_TAL→IC,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1408,1.0,0.636,0.733,-1.996,0.4984,1.0,0.797,False,False,False,False,False,False,large
fmn,Mac,Plasma_Cells,Mac→Plasma_Cells,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1424,1.0,0.636,0.733,-1.996,0.4984,1.0,0.795,False,False,False,False,False,False,large
dttp,C_TAL,Fib,C_TAL→Fib,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1422,1.0,0.636,0.733,-1.996,0.4984,1.0,0.795,False,False,False,False,False,False,large
tyrala,C_TAL,CD4T,C_TAL→CD4T,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1424,1.0,0.636,0.733,-1.996,0.4984,1.0,0.795,False,False,False,False,False,False,large
3mhis,Plasma_Cells,C_TAL,Plasma_Cells→C_TAL,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1436,1.0,0.636,0.733,-1.996,0.4984,1.0,0.794,False,False,False,False,False,False,large
retn,PT_S3,C_TAL,PT_S3→C_TAL,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1434,1.0,0.636,0.733,-1.996,0.4984,1.0,0.794,False,False,False,False,False,False,large
aspasnglu,C_TAL,PEC,C_TAL→PEC,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.144,1.0,0.636,0.733,-1.996,0.4984,1.0,0.794,False,False,False,False,False,False,large
h2s,MyoFib,C_TAL,MyoFib→C_TAL,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.145,1.0,0.636,0.733,-1.996,0.4984,1.0,0.793,False,False,False,False,False,False,large
thrglnglu,GS_Stromal,C_TAL,GS_Stromal→C_TAL,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1448,1.0,0.636,0.733,-1.996,0.4984,1.0,0.793,False,False,False,False,False,False,large
dtmp,Fib,C_TAL,Fib→C_TAL,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1444,1.0,0.636,0.733,-1.996,0.4984,1.0,0.793,False,False,False,False,False,False,large
his_L,C_TAL,PT_S3,C_TAL→PT_S3,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1458,1.0,0.636,0.733,-1.996,0.4984,1.0,0.792,False,False,False,False,False,False,large
acald,C_TAL,PEC,C_TAL→PEC,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1456,1.0,0.636,0.733,-1.996,0.4984,1.0,0.792,False,False,False,False,False,False,large
cholp,Mono,C_TAL,Mono→C_TAL,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1456,1.0,0.636,0.733,-1.996,0.4984,1.0,0.792,False,False,False,False,False,False,large
duri,VSMC/Pericyte,Dedifferentiated_Tubule,VSMC/Pericyte→Dedifferentiated_Tubule,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1452,1.0,0.636,0.733,-1.996,0.4984,1.0,0.792,False,False,False,False,False,False,large
34hpp,Mono,Fib,Mono→Fib,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1468,1.0,0.636,0.733,-1.996,0.4984,1.0,0.791,False,False,False,False,False,False,large
34dhoxpeg,C_TAL,PC,C_TAL→PC,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1468,1.0,0.636,0.733,-1.996,0.4984,1.0,0.791,False,False,False,False,False,False,large
val_L,Mono,GS_Stromal,Mono→GS_Stromal,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1462,1.0,0.636,0.733,-1.996,0.4984,1.0,0.791,False,False,False,False,False,False,large
meoh,C_TAL,Fib,C_TAL→Fib,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.1478,1.0,0.636,0.733,-1.996,0.4984,1.0,0.79,False,False,False,False,False,False,large
ncam,iPT,PT_S3,iPT→PT_S3,0.0,43.86,0.1779,0.3644,0,1,0.0,0.333,-25.386,0.1298,0.375,0.152,0.733,-1.294,0.4984,1.0,0.79,False,False,False,False,False,False,large
glumethis,C_TAL,PT_S3,C_TAL→PT_S3,0.0,0.0,0.1779,0.2299,0,0,0.0,0.0,0.0,0.147,1.0,0.636,0.733,-1.996,0.4984,1.0,0.79,False,False,False,False,False,False,large
ile_L,C_TAL,PT_S3,C_TAL→PT_S3,0.0,24.57,0.1779,0.3552,0,1,0.0,0.333,-24.55,0.1402,0.375,0.152,0.733,-1.312,0.4984,1.0,0.783,False,False,False,False,False,False,large
dopa,MyoFib,Plasma_Cells,MyoFib→Plasma_Cells,16000.21,35540.51,0.76,0.4632,5,1,1.0,0.333,-1.151,0.5714,0.10714285714285714,18.333,-0.333,1.387,0.7795,1.0,0.774,False,False,False,False,True,False,large
thr_L,C_TAL,PT_S3,C_TAL→PT_S3,12.81,58.02,0.2248,0.4816,1,2,0.2,0.667,-2.179,0.2454,0.46428571428571436,0.2,0.6,-1.528,0.5996,1.0,0.749,False,False,False,False,False,True,large
10fthf6glu,Fib,MyoFib,Fib→MyoFib,20687.76,79599.52,0.771,0.4885,5,1,1.0,0.333,-1.944,0.5058,0.10714285714285714,18.333,-0.333,1.153,0.7795,1.0,0.734,False,False,False,False,True,False,large
gly,Podo,Endo_G,Podo→Endo_G,2106.14,1589.63,0.6152,0.6989,5,3,1.0,1.0,0.406,0.1384,1.0,1.571,0.733,-1.623,0.4984,1.0,0.706,False,False,False,False,False,False,large
glc_D,PEC,Mes,PEC→Mes,70899.21,46732.86,0.9076,0.892,5,3,1.0,1.0,0.601,0.113,1.0,1.571,-0.733,1.491,0.4984,1.0,0.704,False,False,False,False,False,False,large
creat,iPT,PT_S3,iPT→PT_S3,117.86,323.42,0.4441,0.4862,5,2,1.0,0.667,-1.456,0.0478,0.375,6.6,1.0,-0.313,0.4984,1.0,0.697,True,False,True,False,False,False,small
10fthf5glu,C_TAL,PT_S3,C_TAL→PT_S3,27568.29,46481.09,0.829,0.6747,5,2,1.0,0.667,-0.754,0.0974,0.375,6.6,1.0,0.714,0.4984,1.0,0.689,False,False,False,False,False,False,medium
gln_L,PT_S1,PT_S3,PT_S1→PT_S3,4514.1,4004.9,0.6648,0.7356,5,3,1.0,1.0,0.173,0.1362,1.0,1.571,0.733,-1.531,0.4984,1.0,0.686,False,False,False,False,False,False,large
thymd,C_TAL,PT_S3,C_TAL→PT_S3,8.7,10.5,0.3931,0.5034,5,3,1.0,1.0,-0.271,0.1916,1.0,1.571,0.667,-1.659,0.5824,1.0,0.666,False,False,False,False,False,False,large
ahdt,Plasma_Cells,CD4T,Plasma_Cells→CD4T,7028.33,195.27,0.5883,0.3379,4,1,0.8,0.333,5.17,0.2482,0.4642857142857142,5.0,-0.6,1.184,0.5996,1.0,0.661,False,False,False,False,True,False,large
dhnpt,CD4T,Plasma_Cells,CD4T→Plasma_Cells,7028.33,195.27,0.5869,0.3379,4,1,0.8,0.333,5.17,0.2514,0.4642857142857142,5.0,-0.6,1.174,0.5996,1.0,0.657,False,False,False,False,True,False,large
cytd,Fib,Plasma_Cells,Fib→Plasma_Cells,3025.56,6968.85,0.5628,0.4218,5,1,1.0,0.333,-1.204,0.5656,0.10714285714285714,18.333,-0.333,0.745,0.7795,1.0,0.615,False,False,False,False,True,False,medium
acac,Podo,Endo_G,Podo→Endo_G,4304.51,3448.94,0.6593,0.7172,5,3,1.0,1.0,0.32,0.181,1.0,1.571,0.667,-1.371,0.5794,1.0,0.603,False,False,False,False,False,False,large
lys_L,Fib,Plasma_Cells,Fib→Plasma_Cells,252.84,0.0,0.3766,0.2299,3,0,0.6,0.0,27.914,0.5644,0.19642857142857145,9.8,-0.333,0.99,0.7795,1.0,0.601,False,False,False,False,True,False,large
inost,C_TAL,PT_S3,C_TAL→PT_S3,10.85,10.24,0.3959,0.4897,5,3,1.0,1.0,0.083,0.3928,1.0,1.571,0.467,-1.814,0.6888,1.0,0.596,False,False,False,False,False,False,large
lac_L,Podo,Endo_G,Podo→Endo_G,340478.97,245251.27,0.9903,1.0,5,3,1.0,1.0,0.473,0.1276,1.0,1.571,0.8,-1.131,0.4984,1.0,0.596,False,False,False,False,False,False,large
atp,C_TAL,PT_S3,C_TAL→PT_S3,465.14,0.0,0.3917,0.2299,3,0,0.6,0.0,28.793,0.5708,0.19642857142857145,9.8,-0.333,0.974,0.7795,1.0,0.595,False,False,False,False,True,False,large
gdp,PC,C_TAL,PC→C_TAL,39063.44,47577.58,0.8469,0.908,5,3,1.0,1.0,-0.284,0.2168,1.0,1.571,0.6,-1.364,0.5996,1.0,0.573,False,False,False,False,False,False,large
mag_hs,Fib,CD4T,Fib→CD4T,6115.88,7599.16,0.6676,0.7793,5,3,1.0,1.0,-0.313,0.2098,1.0,1.571,0.6,-1.284,0.5996,1.0,0.558,False,False,False,False,False,False,large
asp_L,IC,PC,IC→PC,2669.09,1495.44,0.6097,0.6828,5,3,1.0,1.0,0.836,0.2492,1.0,1.571,0.6,-1.337,0.5996,1.0,0.545,False,False,False,False,False,False,large
gluampn,Podo,Endo_G,Podo→Endo_G,95889.17,103610.55,0.92,0.9333,5,3,1.0,1.0,-0.112,0.2722,1.0,1.571,0.533,-1.375,0.6265,1.0,0.542,False,False,False,False,False,False,large
cys_L,CD4T,Plasma_Cells,CD4T→Plasma_Cells,59.65,43.79,0.4359,0.5264,5,3,1.0,1.0,0.446,0.4046,1.0,1.571,0.467,-1.556,0.6902,1.0,0.527,False,False,False,False,False,False,large
thym,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,10.19,13.82,0.3959,0.5011,5,3,1.0,1.0,-0.44,0.3892,1.0,1.571,0.467,-1.481,0.6888,1.0,0.514,False,False,False,False,False,False,large
ctp,PT_S3,C_TAL,PT_S3→C_TAL,42396.36,22878.84,0.8538,0.6414,5,2,1.0,0.667,0.89,0.5798,0.375,6.6,-0.4,1.093,0.7795,1.0,0.513,False,False,False,False,False,False,large
udp,PC,C_TAL,PC→C_TAL,1496.53,10227.21,0.5807,0.5782,5,2,1.0,0.667,-2.773,0.0998,0.375,6.6,1.0,0.015,0.4984,1.0,0.51,False,False,False,False,False,False,negligible
dad_2,CD4T,Plasma_Cells,CD4T→Plasma_Cells,9.79,109.85,0.2297,0.323,1,1,0.2,0.333,-3.488,0.1418,1.0,0.556,0.733,-0.765,0.4984,1.0,0.508,False,False,False,False,False,False,medium
for,Podo,Endo_G,Podo→Endo_G,185.11,111.57,0.4662,0.5379,5,3,1.0,1.0,0.73,0.2914,1.0,1.571,0.533,-1.278,0.65,1.0,0.507,False,False,False,False,False,False,large
uri,C_TAL,PC,C_TAL→PC,3168.85,3840.11,0.6317,0.7149,5,3,1.0,1.0,-0.277,0.2468,1.0,1.571,0.6,-1.137,0.5996,1.0,0.497,False,False,False,False,False,False,large
5thf,C_TAL,iPT,C_TAL→iPT,23001.38,15256.94,0.8083,0.6103,5,2,1.0,0.667,0.592,0.663,0.375,6.6,-0.3,1.073,0.8288,1.0,0.487,False,False,False,False,False,False,large
Rtotal,PC,C_TAL,PC→C_TAL,4752.11,4084.88,0.6786,0.7494,5,3,1.0,1.0,0.218,0.2268,1.0,1.571,0.6,-1.037,0.5996,1.0,0.485,False,False,False,False,False,False,large
sphs1p,C_TAL,PT_S3,C_TAL→PT_S3,145.86,99.28,0.4593,0.531,5,3,1.0,1.0,0.555,0.3936,1.0,1.571,0.467,-1.34,0.6888,1.0,0.477,False,False,False,False,False,False,large
phe_L,C_TAL,PT_S3,C_TAL→PT_S3,10.28,42.96,0.2752,0.4701,2,2,0.4,0.667,-2.063,0.3398,1.0,0.429,1.0,-1.081,0.6843,1.0,0.474,False,False,False,False,False,True,large
hdca,C_TAL,GS_Stromal,C_TAL→GS_Stromal,305.8,205.74,0.4938,0.577,5,3,1.0,1.0,0.572,0.3204,1.0,1.571,0.467,-1.156,0.6674,1.0,0.462,False,False,False,False,False,False,large
tyr_L,PT_S2,PT_S1,PT_S2→PT_S1,313.5,283.61,0.4966,0.5885,5,3,1.0,1.0,0.145,0.4422,1.0,1.571,0.4,-1.322,0.7286,1.0,0.455,False,False,False,False,False,False,large
cmp,MyoFib,Fib,MyoFib→Fib,17254.26,10258.25,0.7917,0.6345,5,2,1.0,0.667,0.75,0.5738,0.375,6.6,0.4,0.821,0.7795,1.0,0.446,False,False,False,False,False,False,large
ac,PT_S3,C_TAL,PT_S3→C_TAL,10982.15,3842.18,0.7241,0.6897,5,3,1.0,1.0,1.515,0.1838,1.0,1.571,-0.667,0.745,0.5794,1.0,0.444,False,False,False,False,False,False,medium
dgsn,Fib,Plasma_Cells,Fib→Plasma_Cells,0.05,0.01,0.2172,0.2908,1,1,0.2,0.333,2.469,0.2564,1.0,0.556,0.6,-0.853,0.5996,1.0,0.44,False,False,False,False,False,False,large
hxan,Mac,Plasma_Cells,Mac→Plasma_Cells,964.98,436.21,0.5448,0.6046,5,3,1.0,1.0,1.145,0.249,1.0,1.571,0.6,-0.91,0.5996,1.0,0.439,False,False,False,False,False,False,large
cdp,C_TAL,iPT,C_TAL→iPT,132776.23,54889.66,0.9379,0.708,5,2,1.0,0.667,1.274,0.8464,0.375,6.6,-0.2,1.022,0.9603,1.0,0.437,False,False,False,False,False,False,large
ura,C_TAL,PC,C_TAL→PC,3730.36,18487.7,0.6028,0.7563,5,3,1.0,1.0,-2.309,0.3832,1.0,1.571,0.467,-1.156,0.6888,1.0,0.435,False,False,False,False,False,False,large
gluala,PT_S3,IC,PT_S3→IC,2718.53,630.67,0.5986,0.4678,5,2,1.0,0.667,2.108,0.8172,0.375,6.6,-0.2,0.982,0.9556,1.0,0.433,False,False,False,False,False,False,large
dgtp,GS_Stromal,C_TAL,GS_Stromal→C_TAL,209238.88,204816.98,0.9641,0.9816,5,3,1.0,1.0,0.031,0.3018,1.0,1.571,0.533,-0.964,0.6557,1.0,0.423,False,False,False,False,False,False,large
dgmp,C_TAL,GS_Stromal,C_TAL→GS_Stromal,209238.88,204816.98,0.9641,0.9816,5,3,1.0,1.0,0.031,0.303,1.0,1.571,0.533,-0.964,0.6557,1.0,0.422,False,False,False,False,False,False,large
ppi,C_TAL,GS_Stromal,C_TAL→GS_Stromal,209238.88,204816.98,0.9641,0.9816,5,3,1.0,1.0,0.031,0.3124,1.0,1.571,0.533,-0.964,0.6661,1.0,0.418,False,False,False,False,False,False,large
serglyglu,Mono,Plasma_Cells,Mono→Plasma_Cells,14.88,30.84,0.2317,0.3655,1,1,0.2,0.333,-1.052,0.2498,1.0,0.556,0.6,-0.727,0.5996,1.0,0.413,False,False,False,False,False,False,medium
chsterol,PT_S1,Endo_G,PT_S1→Endo_G,9.62,5.45,0.3807,0.3931,5,2,1.0,0.667,0.819,0.2378,0.375,6.6,0.7,-0.148,0.5996,1.0,0.412,False,False,False,False,False,False,negligible
2hb,M_TAL,C_TAL,M_TAL→C_TAL,1013.45,1199.37,0.5366,0.5345,5,2,1.0,0.667,-0.243,0.1928,0.375,6.6,0.8,0.013,0.5824,1.0,0.41,False,False,False,False,False,False,negligible
fe3,C_TAL,PC,C_TAL→PC,21266.47,7995.44,0.7572,0.623,5,2,1.0,0.667,1.411,0.5716,0.375,6.6,0.4,0.671,0.7795,1.0,0.409,False,False,False,False,False,False,medium
cit,Endo_G,Podo,Endo_G→Podo,51731.3,35882.91,0.8855,0.846,5,3,1.0,1.0,0.528,0.3268,1.0,1.571,-0.467,0.943,0.6674,1.0,0.406,False,False,False,False,False,False,large
bhb,PT_S3,VSMC/Pericyte,PT_S3→VSMC/Pericyte,1261.53,17.01,0.5117,0.3989,5,2,1.0,0.667,6.213,0.861,0.375,6.6,-0.2,0.858,0.9603,1.0,0.394,False,False,False,False,False,False,large
ser_L,PT_S1,PT_S2,PT_S1→PT_S2,6091.1,4143.75,0.6966,0.7333,5,3,1.0,1.0,0.556,0.4206,1.0,1.571,0.467,-1.031,0.708,1.0,0.389,False,False,False,False,False,False,large
aspmetasp,PT_S3,Endo_Peritubular,PT_S3→Endo_Peritubular,0.1,2.42,0.2152,0.3345,1,1,0.2,0.333,-4.658,0.3888,1.0,0.556,0.467,-0.892,0.6888,1.0,0.387,False,False,False,False,False,False,large
cgly,PT_S2,PT_S1,PT_S2→PT_S1,1738.24,1271.13,0.5959,0.6529,5,3,1.0,1.0,0.452,0.3852,1.0,1.571,0.467,-0.953,0.6888,1.0,0.383,False,False,False,False,False,False,large
