metabolite,source,sink,exchange_axis,mean_raw_Diseased,mean_raw_Control,mean_rank_Diseased,mean_rank_Control,detected_Diseased,detected_Control,rate_Diseased,rate_Control,log2fc,perm_p,fisher_p,fisher_or,wilcox_r,cohens_d,perm_q,fisher_q,evidence_score,sig_perm,sig_fisher,significant,sig_fdr,signature_Diseased,signature_Control,effect_size_label
atp,C_TAL,PT_S3,C_TAL→PT_S3,525.67,0.0,0.3928,0.2299,5,0,0.455,0.0,28.97,0.6394,0.2582417582417582,5.923,-0.212,0.701,0.9077,1.0,0.458,False,False,False,False,False,False,medium
ac,PT_S3,C_TAL,PT_S3→C_TAL,8286.07,3842.18,0.7335,0.6897,11,3,1.0,1.0,1.109,0.1796,1.0,3.286,-0.545,0.739,0.8948,1.0,0.446,False,False,False,False,False,False,medium
2hb,M_TAL,C_TAL,M_TAL→C_TAL,825.18,1199.37,0.5906,0.5345,11,2,1.0,0.667,-0.539,0.4004,0.21428571428571427,13.8,0.455,0.336,0.8948,1.0,0.44,False,False,False,False,False,False,small
gly,Podo,Endo_G,Podo→Endo_G,1907.04,1589.63,0.6464,0.6989,11,3,1.0,1.0,0.263,0.2216,1.0,3.286,0.515,-0.838,0.8948,1.0,0.439,False,False,False,False,False,False,large
cys_L,CD4T,Plasma_Cells,CD4T→Plasma_Cells,62.99,43.79,0.4652,0.5264,11,3,1.0,1.0,0.524,0.2758,1.0,3.286,0.455,-0.961,0.8948,1.0,0.436,False,False,False,False,False,False,large
10fthf6glu,Fib,MyoFib,Fib→MyoFib,13103.13,79599.52,0.6461,0.4885,9,1,0.818,0.333,-2.603,0.8588,0.17582417582417578,6.333,-0.091,0.599,0.9737,1.0,0.434,False,False,False,False,True,False,medium
hdca,C_TAL,GS_Stromal,C_TAL→GS_Stromal,230.65,205.74,0.5041,0.577,11,3,1.0,1.0,0.165,0.3498,1.0,3.286,0.394,-1.085,0.8948,1.0,0.431,False,False,False,False,False,False,large
gthrd,C_TAL,PC,C_TAL→PC,1113.57,0.0,0.3846,0.2299,5,0,0.455,0.0,30.053,0.7738,0.2582417582417582,5.923,-0.152,0.701,0.9509,1.0,0.429,False,False,False,False,False,False,medium
glc_D,PEC,Mes,PEC→Mes,60139.81,46732.86,0.9041,0.892,11,3,1.0,1.0,0.364,0.2626,1.0,3.286,-0.485,0.902,0.8948,1.0,0.429,False,False,False,False,False,False,large
gluampn,Podo,Endo_G,Podo→Endo_G,73275.16,103610.55,0.9172,0.9333,11,3,1.0,1.0,-0.5,0.2262,1.0,3.286,0.515,-0.755,0.8948,1.0,0.415,False,False,False,False,False,False,medium
uri,C_TAL,PC,C_TAL→PC,3643.77,3840.11,0.6169,0.7149,10,3,0.909,1.0,-0.076,0.248,1.0,1.0,0.5,-0.744,0.8948,1.0,0.412,False,False,False,False,False,False,medium
sphs1p,C_TAL,PT_S3,C_TAL→PT_S3,106.5,99.28,0.4498,0.531,10,3,0.909,1.0,0.101,0.3384,1.0,1.0,0.4,-0.935,0.8948,1.0,0.412,False,False,False,False,False,False,large
thr_L,C_TAL,PT_S3,C_TAL→PT_S3,17.64,58.02,0.315,0.4816,4,2,0.364,0.667,-1.717,0.5332,0.5384615384615384,0.36,0.5,-0.812,0.8948,1.0,0.411,False,False,False,False,False,True,large
inost,C_TAL,PT_S3,C_TAL→PT_S3,11.17,10.24,0.4053,0.4897,10,3,0.909,1.0,0.125,0.3836,1.0,1.0,0.367,-0.996,0.8948,1.0,0.408,False,False,False,False,False,False,large
cytd,Fib,Plasma_Cells,Fib→Plasma_Cells,2183.76,6968.85,0.4953,0.4218,9,1,0.818,0.333,-1.674,0.7724,0.17582417582417578,6.333,-0.152,0.407,0.9509,1.0,0.402,False,False,False,False,True,False,small
mag_hs,Fib,CD4T,Fib→CD4T,5493.89,7599.16,0.689,0.7793,11,3,1.0,1.0,-0.468,0.2796,1.0,3.286,0.455,-0.823,0.8948,1.0,0.399,False,False,False,False,False,False,large
aspmetasp,PT_S3,Endo_Peritubular,PT_S3→Endo_Peritubular,0.34,2.42,0.2335,0.3345,2,1,0.182,0.333,-2.843,0.3692,1.0,0.439,0.394,-0.891,0.8948,1.0,0.397,False,False,False,False,False,False,large
mal_L,C_TAL,PT_S2,C_TAL→PT_S2,611.07,400.08,0.4317,0.5414,8,2,0.727,0.667,0.611,0.174,1.0,1.457,0.75,-0.486,0.8948,1.0,0.396,False,False,False,False,False,False,small
asn_L,Podo,Endo_G,Podo→Endo_G,1164.66,1010.72,0.5492,0.4931,10,2,0.909,0.667,0.205,0.3538,0.3956043956043956,4.2,0.5,0.393,0.8948,1.0,0.393,False,False,False,False,False,False,small
nh4,iPT,PT_S1,iPT→PT_S1,34562.85,27063.55,0.8602,0.8391,11,3,1.0,1.0,0.353,0.3106,1.0,3.286,-0.424,0.847,0.8948,1.0,0.389,False,False,False,False,False,False,large
lac_D,PT_S1,PT_S3,PT_S1→PT_S3,325609.9,115844.93,0.7708,0.7207,8,2,0.727,0.667,1.491,0.1036,1.0,1.457,-0.625,0.139,0.8948,1.0,0.388,False,False,False,False,False,False,negligible
fe2,PC,C_TAL,PC→C_TAL,31642.52,7995.44,0.7693,0.623,10,2,0.909,0.667,1.985,0.5846,0.3956043956043956,4.2,-0.3,0.654,0.8948,1.0,0.382,False,False,False,False,False,False,medium
gthox,C_TAL,GS_Stromal,C_TAL→GS_Stromal,626.55,910.16,0.5235,0.6,11,3,1.0,1.0,-0.539,0.359,1.0,3.286,0.394,-0.894,0.8948,1.0,0.379,False,False,False,False,False,False,large
ala_D,iPT,C_TAL,iPT→C_TAL,15270.68,9134.45,0.6332,0.8023,9,3,0.818,1.0,0.741,0.3808,1.0,0.543,0.407,-0.788,0.8948,1.0,0.371,False,False,False,False,False,False,medium
chsterol,PT_S1,Endo_G,PT_S1→Endo_G,9.58,5.45,0.3489,0.3931,8,2,0.727,0.667,0.813,0.2228,1.0,1.457,0.688,-0.484,0.8948,1.0,0.358,False,False,False,False,False,False,small
10fthf5glu,C_TAL,PT_S3,C_TAL→PT_S3,23259.41,46481.09,0.7157,0.6747,9,2,0.818,0.667,-0.999,0.1536,1.0,2.28,0.778,0.152,0.8948,1.0,0.345,False,False,False,False,False,False,negligible
Rtotal,PC,C_TAL,PC→C_TAL,4039.61,4084.88,0.6524,0.7494,10,3,0.909,1.0,-0.016,0.337,1.0,1.0,0.4,-0.66,0.8948,1.0,0.344,False,False,False,False,False,False,medium
trp_L,C_TAL,PT_S3,C_TAL→PT_S3,0.02,0.05,0.2417,0.3138,2,1,0.182,0.333,-1.131,0.3052,1.0,0.439,0.424,-0.562,0.8948,1.0,0.344,False,False,False,False,False,False,medium
fe3,C_TAL,PC,C_TAL→PC,31642.52,7995.44,0.7693,0.623,10,2,0.909,0.667,1.985,0.7592,0.3956043956043956,4.2,-0.2,0.656,0.9509,1.0,0.343,False,False,False,False,False,False,medium
6thf,Fib,PT_S1,Fib→PT_S1,4275.89,4600.23,0.5364,0.4103,8,1,0.727,0.333,-0.105,0.6698,0.5054945054945055,4.048,-0.182,0.561,0.9077,1.0,0.334,False,False,False,False,True,False,medium
gln_L,PT_S1,PT_S3,PT_S1→PT_S3,4684.58,4004.9,0.6978,0.7356,11,3,1.0,1.0,0.226,0.373,1.0,3.286,0.364,-0.699,0.8948,1.0,0.325,False,False,False,False,False,False,medium
for,Podo,Endo_G,Podo→Endo_G,151.14,111.57,0.494,0.5379,11,3,1.0,1.0,0.438,0.4028,1.0,3.286,0.364,-0.682,0.8948,1.0,0.309,False,False,False,False,False,False,medium
dgmp,C_TAL,GS_Stromal,C_TAL→GS_Stromal,214583.97,204816.98,0.89,0.9816,10,3,0.909,1.0,0.067,0.3158,1.0,1.0,0.433,-0.448,0.8948,1.0,0.301,False,False,False,False,False,False,small
dgtp,GS_Stromal,C_TAL,GS_Stromal→C_TAL,214583.97,204816.98,0.889,0.9816,10,3,0.909,1.0,0.067,0.3202,1.0,1.0,0.433,-0.453,0.8948,1.0,0.3,False,False,False,False,False,False,small
ura,C_TAL,PC,C_TAL→PC,6130.32,18487.7,0.6163,0.7563,10,3,0.909,1.0,-1.593,0.5606,1.0,1.0,0.267,-0.795,0.8948,1.0,0.3,False,False,False,False,False,False,medium
lys_L,Fib,Plasma_Cells,Fib→Plasma_Cells,118.52,0.0,0.3266,0.2299,4,0,0.364,0.0,26.821,0.8672,0.5054945054945055,4.2,-0.091,0.573,0.9737,1.0,0.294,False,False,False,False,False,False,medium
ascb_L,C_TAL,PC,C_TAL→PC,61617.0,20923.45,0.7881,0.6575,10,2,0.909,0.667,1.558,0.8868,0.3956043956043956,4.2,-0.1,0.544,0.9785,1.0,0.291,False,False,False,False,False,False,medium
ins,VSMC/Pericyte,C_TAL,VSMC/Pericyte→C_TAL,10935.15,838.87,0.6702,0.6161,10,3,0.909,1.0,3.704,0.2734,1.0,1.0,-0.467,0.317,0.8948,1.0,0.29,False,False,False,False,False,False,small
6dhf,CNT,PT_S3,CNT→PT_S3,10526.15,10597.5,0.5875,0.4333,8,1,0.727,0.333,-0.01,0.9738,0.5054945054945055,4.048,-0.03,0.609,1.0,1.0,0.289,False,False,False,False,True,False,medium
dhdascb,PC,C_TAL,PC→C_TAL,61617.0,20923.45,0.7893,0.6575,10,2,0.909,0.667,1.558,0.911,0.3956043956043956,4.2,-0.1,0.549,0.9785,1.0,0.288,False,False,False,False,False,False,medium
leu_L,PT_S3,iPT,PT_S3→iPT,100.66,26.9,0.258,0.3609,2,1,0.182,0.333,1.904,0.535,1.0,0.439,0.273,-0.655,0.8948,1.0,0.281,False,False,False,False,False,False,medium
tyr_L,PT_S2,PT_S1,PT_S2→PT_S1,256.28,283.61,0.531,0.5885,11,3,1.0,1.0,-0.146,0.559,1.0,3.286,0.273,-0.731,0.8948,1.0,0.271,False,False,False,False,False,False,medium
5mthf,MyoFib,Fib,MyoFib→Fib,2.62,0.0,0.2708,0.2299,4,0,0.364,0.0,21.322,0.8594,0.5054945054945055,4.2,-0.091,0.454,0.9737,1.0,0.265,False,False,False,False,False,False,small
ser_D,C_TAL,iPT,C_TAL→iPT,3255.41,0.0,0.3417,0.2299,4,0,0.364,0.0,31.6,0.9798,0.5054945054945055,4.2,-0.03,0.531,1.0,1.0,0.265,False,False,False,False,False,False,medium
gdp,PC,C_TAL,PC→C_TAL,49996.18,47577.58,0.8132,0.908,10,3,0.909,1.0,0.072,0.4426,1.0,1.0,0.333,-0.508,0.8948,1.0,0.265,False,False,False,False,False,False,medium
hxan,Mac,Plasma_Cells,Mac→Plasma_Cells,866.34,436.21,0.5693,0.6046,11,3,1.0,1.0,0.99,0.4772,1.0,3.286,0.303,-0.602,0.8948,1.0,0.263,False,False,False,False,False,False,medium
ser_L,PT_S1,PT_S2,PT_S1→PT_S2,4978.33,4143.75,0.711,0.7333,11,3,1.0,1.0,0.265,0.4028,1.0,3.286,0.364,-0.457,0.8948,1.0,0.252,False,False,False,False,False,False,small
duri,VSMC/Pericyte,Dedifferentiated_Tubule,VSMC/Pericyte→Dedifferentiated_Tubule,0.04,0.0,0.2116,0.2299,1,0,0.091,0.0,15.305,0.4338,1.0,1.0,0.333,-0.398,0.8948,1.0,0.24,False,False,False,False,False,False,small
phe_L,C_TAL,PT_S3,C_TAL→PT_S3,19.18,42.96,0.3567,0.4701,6,2,0.545,0.667,-1.164,0.6158,1.0,0.709,0.333,-0.579,0.9068,1.0,0.237,False,False,False,False,False,False,medium
ile_L,C_TAL,PT_S3,C_TAL→PT_S3,10.26,24.57,0.2787,0.3552,2,1,0.182,0.333,-1.259,0.4516,1.0,0.439,0.333,-0.369,0.8948,1.0,0.236,False,False,False,False,False,False,small
dag_hs,C_TAL,PT_S3,C_TAL→PT_S3,6897.56,4996.41,0.7135,0.7747,11,3,1.0,1.0,0.465,0.4708,1.0,3.286,0.333,-0.463,0.8948,1.0,0.23,False,False,False,False,False,False,small
hisglugln,GS_Stromal,Fib,GS_Stromal→Fib,0.1,0.0,0.2125,0.2299,1,0,0.091,0.0,16.572,0.4456,1.0,1.0,0.333,-0.369,0.8948,1.0,0.229,False,False,False,False,False,False,small
s2l2n2m2masn,MyoFib,Plasma_Cells,MyoFib→Plasma_Cells,0.0,0.0,0.2141,0.2299,1,0,0.091,0.0,8.549,0.3772,1.0,1.0,0.394,-0.265,0.8948,1.0,0.228,False,False,False,False,False,False,small
bhb,PT_S3,VSMC/Pericyte,PT_S3→VSMC/Pericyte,791.42,17.01,0.4724,0.3989,9,2,0.818,0.667,5.54,0.5948,1.0,2.28,-0.333,0.497,0.8948,1.0,0.226,False,False,False,False,False,False,small
ahdt,Plasma_Cells,CD4T,Plasma_Cells→CD4T,8701.45,195.27,0.4906,0.3379,6,1,0.545,0.333,5.478,0.7684,1.0,1.97,-0.152,0.614,0.9509,1.0,0.225,False,False,False,False,True,False,medium
ppi,C_TAL,GS_Stromal,C_TAL→GS_Stromal,214583.97,204816.98,0.8909,0.9816,10,3,0.909,1.0,0.067,0.5144,1.0,1.0,0.3,-0.443,0.8948,1.0,0.225,False,False,False,False,False,False,small
dhnpt,CD4T,Plasma_Cells,CD4T→Plasma_Cells,8701.45,195.27,0.49,0.3379,6,1,0.545,0.333,5.478,0.7734,1.0,1.97,-0.152,0.611,0.9509,1.0,0.224,False,False,False,False,True,False,medium
34hpp,Mono,Fib,Mono→Fib,0.83,0.0,0.2129,0.2299,1,0,0.091,0.0,19.655,0.446,1.0,1.0,0.333,-0.349,0.8948,1.0,0.224,False,False,False,False,False,False,small
akg,PT_S1,PT_S3,PT_S1→PT_S3,43615.57,50025.35,0.8884,0.8736,11,3,1.0,1.0,-0.198,0.5434,1.0,3.286,-0.273,0.512,0.8948,1.0,0.221,False,False,False,False,False,False,medium
glumethis,C_TAL,PT_S3,C_TAL→PT_S3,0.78,0.0,0.2232,0.2299,1,0,0.091,0.0,19.573,0.2878,1.0,1.0,0.455,-0.067,0.8948,1.0,0.22,False,False,False,False,False,False,negligible
aspglupro,DCT,C_TAL,DCT→C_TAL,4.63,0.0,0.2251,0.2299,1,0,0.091,0.0,22.143,0.286,1.0,1.0,0.455,-0.046,0.8948,1.0,0.215,False,False,False,False,False,False,negligible
hisglu,C_TAL,Fib,C_TAL→Fib,0.5,0.0,0.215,0.2299,1,0,0.091,0.0,18.926,0.4492,1.0,1.0,0.333,-0.28,0.8948,1.0,0.205,False,False,False,False,False,False,small
3mhis,Plasma_Cells,C_TAL,Plasma_Cells→C_TAL,0.02,0.0,0.2197,0.2299,1,0,0.091,0.0,14.339,0.3512,1.0,1.0,0.394,-0.121,0.8948,1.0,0.203,False,False,False,False,False,False,negligible
cmp,MyoFib,Fib,MyoFib→Fib,12271.23,10258.25,0.6846,0.6345,9,2,0.818,0.667,0.258,0.432,1.0,2.28,0.444,0.202,0.8948,1.0,0.201,False,False,False,False,False,False,small
h2s,MyoFib,C_TAL,MyoFib→C_TAL,5.79,0.0,0.2618,0.2299,2,0,0.182,0.0,22.464,0.4502,1.0,1.842,0.333,0.206,0.8948,1.0,0.2,False,False,False,False,False,False,small
dtdp,Fib,C_TAL,Fib→C_TAL,25.41,0.0,0.2464,0.2299,1,0,0.091,0.0,24.599,0.346,1.0,1.0,0.394,0.099,0.8948,1.0,0.2,False,False,False,False,False,False,negligible
cgly,PT_S2,PT_S1,PT_S2→PT_S1,1581.91,1271.13,0.6201,0.6529,11,3,1.0,1.0,0.316,0.6656,1.0,3.286,0.212,-0.549,0.9077,1.0,0.199,False,False,False,False,False,False,medium
hisglnala,C_TAL,IC,C_TAL→IC,0.02,0.0,0.2207,0.2299,1,0,0.091,0.0,14.064,0.363,1.0,1.0,0.394,-0.102,0.8948,1.0,0.193,False,False,False,False,False,False,negligible
acac,Podo,Endo_G,Podo→Endo_G,4230.49,3448.94,0.694,0.7172,11,3,1.0,1.0,0.295,0.5344,1.0,3.286,0.273,-0.393,0.8948,1.0,0.193,False,False,False,False,False,False,small
dttp,C_TAL,Fib,C_TAL→Fib,10.61,0.0,0.2414,0.2299,1,0,0.091,0.0,23.339,0.3546,1.0,1.0,0.394,0.076,0.8948,1.0,0.19,False,False,False,False,False,False,negligible
retn,PT_S3,C_TAL,PT_S3→C_TAL,14.0,0.0,0.2433,0.2299,1,0,0.091,0.0,23.738,0.3662,1.0,1.0,0.394,0.085,0.8948,1.0,0.188,False,False,False,False,False,False,negligible
acald,C_TAL,PEC,C_TAL→PEC,0.47,0.0,0.2235,0.2299,1,0,0.091,0.0,18.832,0.355,1.0,1.0,0.394,-0.068,0.8948,1.0,0.188,False,False,False,False,False,False,negligible
tyrala,C_TAL,CD4T,C_TAL→CD4T,3.54,0.0,0.2357,0.2299,1,0,0.091,0.0,21.754,0.3464,1.0,1.0,0.394,0.044,0.8948,1.0,0.186,False,False,False,False,False,False,negligible
dtmp,Fib,C_TAL,Fib→C_TAL,0.55,0.0,0.2257,0.2299,1,0,0.091,0.0,19.075,0.3478,1.0,1.0,0.394,-0.04,0.8948,1.0,0.184,False,False,False,False,False,False,negligible
asplysglu,C_TAL,Plasma_Cells,C_TAL→Plasma_Cells,0.09,0.0,0.2232,0.2299,1,0,0.091,0.0,16.45,0.3668,1.0,1.0,0.394,-0.068,0.8948,1.0,0.183,False,False,False,False,False,False,negligible
fmn,Mac,Plasma_Cells,Mac→Plasma_Cells,6.07,0.0,0.2379,0.2299,1,0,0.091,0.0,22.534,0.3606,1.0,1.0,0.394,0.059,0.8948,1.0,0.183,False,False,False,False,False,False,negligible
thrglnglu,GS_Stromal,C_TAL,GS_Stromal→C_TAL,5.78,0.0,0.2718,0.2299,2,0,0.182,0.0,22.462,0.549,1.0,1.842,0.273,0.246,0.8948,1.0,0.18,False,False,False,False,False,False,small
fol,PT_S2,Podo,PT_S2→Podo,224.0,8.11,0.2975,0.3023,3,1,0.273,0.333,4.787,0.3446,1.0,0.686,0.394,-0.032,0.8948,1.0,0.179,False,False,False,False,False,False,negligible
cholp,Mono,C_TAL,Mono→C_TAL,0.6,0.0,0.2263,0.2299,1,0,0.091,0.0,19.191,0.3566,1.0,1.0,0.394,-0.033,0.8948,1.0,0.179,False,False,False,False,False,False,negligible
val_L,Mono,GS_Stromal,Mono→GS_Stromal,20.95,0.0,0.2204,0.2299,1,0,0.091,0.0,24.321,0.428,1.0,1.0,0.333,-0.14,0.8948,1.0,0.178,False,False,False,False,False,False,negligible
4abut,iPT,PT_S1,iPT→PT_S1,23108.47,28178.75,0.8176,0.8391,11,3,1.0,1.0,-0.286,0.5976,1.0,3.286,0.242,-0.387,0.8948,1.0,0.175,False,False,False,False,False,False,small
aspasnglu,C_TAL,PEC,C_TAL→PEC,0.74,0.0,0.2276,0.2299,1,0,0.091,0.0,19.503,0.3582,1.0,1.0,0.394,-0.021,0.8948,1.0,0.175,False,False,False,False,False,False,negligible
34dhoxpeg,C_TAL,PC,C_TAL→PC,3.39,0.0,0.2605,0.2299,2,0,0.182,0.0,21.694,0.5278,1.0,1.842,0.273,0.202,0.8948,1.0,0.175,False,False,False,False,False,False,small
thymd,C_TAL,PT_S3,C_TAL→PT_S3,34.48,10.5,0.4677,0.5034,11,3,1.0,1.0,1.716,0.4908,1.0,3.286,0.303,-0.26,0.8948,1.0,0.173,False,False,False,False,False,False,small
alaarggly,C_TAL,Plasma_Cells,C_TAL→Plasma_Cells,1.29,0.0,0.2285,0.2299,1,0,0.091,0.0,20.297,0.3606,1.0,1.0,0.394,-0.012,0.8948,1.0,0.172,False,False,False,False,False,False,negligible
his_L,C_TAL,PT_S3,C_TAL→PT_S3,1.74,0.0,0.2592,0.2299,2,0,0.182,0.0,20.734,0.544,1.0,1.842,0.273,0.201,0.8948,1.0,0.17,False,False,False,False,False,False,small
ala_B,C_TAL,PT_S3,C_TAL→PT_S3,13.48,0.0,0.2213,0.2299,1,0,0.091,0.0,23.684,0.4344,1.0,1.0,0.333,-0.113,0.8948,1.0,0.169,False,False,False,False,False,False,negligible
orn,iPT,C_TAL,iPT→C_TAL,572.31,128.19,0.3448,0.4184,5,2,0.455,0.667,2.159,0.8542,1.0,0.508,0.2,-0.432,0.9737,1.0,0.164,False,False,False,False,False,False,small
thym,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,25.48,13.82,0.4589,0.5011,11,3,1.0,1.0,0.883,0.6232,1.0,3.286,0.212,-0.361,0.9068,1.0,0.162,False,False,False,False,False,False,small
udp,PC,C_TAL,PC→C_TAL,9488.0,10227.21,0.5878,0.5782,9,2,0.818,0.667,-0.108,0.4328,1.0,2.28,0.444,0.042,0.8948,1.0,0.16,False,False,False,False,False,False,negligible
glnasngln,VSMC/Pericyte,IC,VSMC/Pericyte→IC,1.54,0.0,0.2467,0.2299,2,0,0.182,0.0,20.555,0.5368,1.0,1.842,0.273,0.149,0.8948,1.0,0.159,False,False,False,False,False,False,negligible
ptrc,C_TAL,iPT,C_TAL→iPT,304.96,0.0,0.2386,0.2299,1,0,0.091,0.0,28.184,0.4328,1.0,1.0,0.333,0.07,0.8948,1.0,0.158,False,False,False,False,False,False,negligible
gsn,PT_S1,CNT,PT_S1→CNT,11312.24,6068.19,0.7022,0.7402,10,3,0.909,1.0,0.899,0.5986,1.0,1.0,-0.233,-0.263,0.8948,1.0,0.157,False,False,False,False,False,False,small
5dhf,PT_S1,PT_S3,PT_S1→PT_S3,23329.74,23413.63,0.69,0.6379,9,2,0.818,0.667,-0.005,0.5842,1.0,2.28,0.333,0.202,0.8948,1.0,0.155,False,False,False,False,False,False,small
succ,iPT,C_TAL,iPT→C_TAL,26264.39,26499.54,0.8207,0.7793,11,3,1.0,1.0,-0.013,0.8668,1.0,3.286,-0.091,0.524,0.9737,1.0,0.153,False,False,False,False,False,False,medium
gua,Endo_G,Podo,Endo_G→Podo,5460.54,2054.39,0.6502,0.7126,10,3,0.909,1.0,1.41,0.829,1.0,1.0,0.1,-0.442,0.9737,1.0,0.153,False,False,False,False,False,False,small
meoh,C_TAL,Fib,C_TAL→Fib,0.19,0.0,0.2429,0.2299,2,0,0.182,0.0,17.516,0.5268,1.0,1.842,0.273,0.115,0.8948,1.0,0.153,False,False,False,False,False,False,negligible
3mob,Mono,Mac,Mono→Mac,38.76,0.0,0.2254,0.2299,1,0,0.091,0.0,25.208,0.4452,1.0,1.0,0.333,-0.055,0.8948,1.0,0.15,False,False,False,False,False,False,negligible
cyala,Endo_G,Podo,Endo_G→Podo,94305.12,112880.5,0.9467,0.954,11,3,1.0,1.0,-0.259,0.668,1.0,3.286,0.182,-0.343,0.9077,1.0,0.147,False,False,False,False,False,False,small
adn,PC,C_TAL,PC→C_TAL,1982.21,432.32,0.6119,0.5954,11,3,1.0,1.0,2.197,0.567,1.0,3.286,-0.242,0.245,0.8948,1.0,0.147,False,False,False,False,False,False,small
5thf,C_TAL,iPT,C_TAL→iPT,18125.0,15256.94,0.6975,0.6103,9,2,0.818,0.667,0.249,0.8024,1.0,2.28,-0.222,0.35,0.9737,1.0,0.144,False,False,False,False,False,False,small
man,Fib,Podo,Fib→Podo,61.84,0.0,0.2326,0.2299,1,0,0.091,0.0,25.882,0.4424,1.0,1.0,0.333,0.027,0.8948,1.0,0.144,False,False,False,False,False,False,negligible
4hpro_LT,Endo_G,Fib,Endo_G→Fib,12.78,0.0,0.2382,0.2299,2,0,0.182,0.0,23.608,0.543,1.0,1.842,0.273,0.096,0.8948,1.0,0.144,False,False,False,False,False,False,negligible
15kprostgf2,C_TAL,PT_S3,C_TAL→PT_S3,4409.09,220.1,0.3799,0.4701,5,2,0.455,0.667,4.324,1.0,1.0,0.508,0.0,-0.4,1.0,1.0,0.132,False,False,False,False,False,False,small
hco3,Endo_G,Podo,Endo_G→Podo,85139.46,85674.39,0.9373,0.931,11,3,1.0,1.0,-0.009,0.686,1.0,3.286,-0.182,0.284,0.921,1.0,0.128,False,False,False,False,False,False,small
